Epoch,X,Y,Z,Score,NumBestPoints
2025/01/17 08:54:40.000,-2743906.9168653768,4701343.587738413,3312892.0129223475,9,4
2025/01/17 08:54:41.000,-2743907.728153232,4701344.83923392,3312890.1272696108,10,2
2025/01/17 08:54:42.000,-2743904.4113198062,4701337.816210519,3312905.0420655324,10,21
2025/01/17 08:54:43.000,-2743908.345146415,4701346.165699533,3312889.8372180876,9,1
2025/01/17 08:54:44.000,-2743906.9894864894,4701343.991300336,3312893.949217936,8,6
2025/01/17 08:54:53.000,-2743910.8475054633,4701347.000015029,3312900.0536509454,11,12
2025/01/17 08:54:54.000,-2743906.7624051524,4701343.741923964,3312907.5936356075,10,40
2025/01/17 08:54:55.000,-2743907.0519998274,4701344.06150344,3312905.7411278714,10,36
2025/01/17 08:54:56.000,-2743907.3811738933,4701344.049515275,3312904.0623501996,10,30
2025/01/17 08:54:57.000,-2743906.053943107,4701342.527645715,3312906.3870334625,10,21
2025/01/17 08:54:58.000,-2743907.0462345514,4701340.477819712,3312905.620895899,10,23
2025/01/17 08:54:59.000,-2743909.902519558,4701345.91105903,3312899.4389948617,10,13
2025/01/17 08:55:00.000,-2743907.209205361,4701344.072084555,3312906.678688419,9,52
2025/01/17 08:55:01.000,-2743890.1179204183,4701320.071287975,3312894.7476118533,4,1
2025/01/17 08:55:02.000,-2743893.803966949,4701320.403480501,3312895.6613155208,2,27
2025/01/17 08:55:03.000,-2743891.6727635474,4701324.274955958,3312896.5584004507,2,1
2025/01/17 08:55:04.000,-2743899.340401473,4701331.163519527,3312888.577035703,2,3
2025/01/17 08:55:05.000,-2743896.4929278637,4701331.323751129,3312900.4161322773,3,11
2025/01/17 08:55:06.000,-2743897.869952993,4701332.466437754,3312896.22965205,3,11
2025/01/17 08:55:07.000,-2743897.1751029035,4701332.476351829,3312897.0704440093,3,8
2025/01/17 08:55:09.000,-2743905.3599319533,4701339.261401881,3312907.7967037503,11,9
2025/01/17 08:55:14.000,-2743881.931125689,4701328.681225201,3312895.303794022,11,1
2025/01/17 08:55:16.000,-2743882.3604856706,4701330.0861593345,3312895.6171834315,11,1
2025/01/17 08:55:17.000,-2743882.2517512445,4701331.9878137335,3312896.469353544,11,1
2025/01/17 08:55:18.000,-2743883.7799117165,4701332.331760127,3312890.985028074,10,5
2025/01/17 08:55:19.000,-2743883.531843219,4701332.828451229,3312891.6979325563,11,2
2025/01/17 08:55:20.000,-2743882.9779472803,4701332.539762606,3312894.911647524,10,10
2025/01/17 08:55:21.000,-2743882.7996761505,4701333.787781009,3312893.9914292367,12,19
